3,go,行く,1,1
4,stay,滞在する,1,1
5,send,送る,1,1
6,get,得る,1,1
7,eat,食べる,1,1
8,buy,買う,1,1
9,show,見せる,1,1
10,write,書く,1,1
11,make,作る,1,1
12,use,使う,1,1
13,meet,会う,1,1
14,come,来る,1,1
15,speak,喋る,1,1
16,translate,翻訳する,1,1
17,open,開く,1,1
18,close,閉じる,1,1
19,win,勝つ,1,1
20,lose,失う,1,1
21,stop,止まる,1,1
22,cut,切る,1,1
23,sit,座る,1,1
24,borrow,借りる,1,1
25,rise,上昇する,1,1
26,drop,落ちる,1,1
27,forget,忘れる,1,1
28,memorize,記憶する,1,1
29,learn,学ぶ,1,1
30,master,習得する,1,1
31,decrease,減少する,1,1
32,increase,増加する,1,1
33,watch,見る,1,1
34,look,見る,1,1
35,see,見る,1,1
36,produce,生産する,1,1
37,cook,料理する,1,1
38,exist,存在する,1,1
39,talk,話す,1,1
40,repair,修理する,1,1
41,give,与える,1,1
42,fix,修復する,1,1
43,start,始める,1,1
44,wash,洗う,1,1
45,begin,始める,1,1
46,teach,教える,1,1
47,inform,知らせる,1,1
48,notice,気付く,1,1
49,paint,絵を描く,1,1
50,have,持つ,1,1
