word_id,word_en,word_jp,level_id,category_id,practice_id
401,debate,討論,9,4,1
402,criticize,を批判する,9,1,1
403,accuse,を非難する,9,1,1
404,insist,言い張る,9,1,1
405,object,反対する,9,1,1
406,protest,抗議する,9,1,1
407,controversial,論争を招く,9,1,1
408,bound,きっと〜,9,2,1
409,bet,きっと〜だと思う,9,1,1
410,congratulate,を祝う,9,1,1
411,praise,を褒める,9,1,2
412,honor,名誉,9,4,2
413,chat,おしゃべりする,9,1,2
414,refer,言及する,9,1,2
415,mention,について述べる,9,1,2
416,convey,を伝える,9,1,2
417,emphasize,を強調する,9,1,2
418,exaggerate,を誇張する,9,1,2
419,reply,返事をする,9,1,2
420,respond,返答する,9,1,2
421,whisper,ささやく,9,1,3
422,remark,発言,9,4,3
423,observe,を観察する,9,1,3
424,theory,理論,9,4,3
425,analysis,分析,9,4,3
426,experiment,実験,9,4,3
427,device,装置,9,4,3
428,phenomenon,現象,9,4,3
429,substance,物質,9,4,3
430,chemical,化学物質,9,4,3
431,fuel,燃料,9,4,4
432,nuclear,原子力の,9,2,4
433,statistics,統計,9,4,4
434,pursue,を追求する,9,1,4
435,accomplish,をやり遂げる,9,1,4
436,overcome,を克服する,9,1,4
437,fulfill,果たす,9,1,4
438,devote,をささげる,9,1,4
439,aim,狙う,9,1,4
440,challenge,難問,9,4,4
441,trial,試み,9,4,5
442,dizzy,めまいがして,9,2,5
443,pale,青白い,9,2,5
444,appetite,食欲,9,4,5
445,starve,とてもお腹が空いている,9,2,5
446,mental,精神の,9,2,5
447,rest,休憩,9,4,5
448,ache,痛み,9,4,5
449,surgery,手術,9,4,5
450,disease,病気,9,4,5
451,symptom,症状,10,4,1
452,cancer,がん,10,4,1
453,ambulance,救急車,10,4,1
454,recover,回復する,10,1,1
455,sore,痛い,10,2,1
456,swell,腫れる,10,1,1
457,cough,咳をする,10,1,1
458,bleed,出血する,10,1,1
459,faint,かすかな,10,2,1
460,exhaust,を疲れ果てさせる,10,1,1
461,cure,を治療する,10,1,2
462,disabled,障がいのある,10,2,2
463,stiff,凝った,10,2,2
464,muscle,筋肉,10,4,2
465,tongue,舌,10,4,2
466,sense,感覚,10,4,2
467,sweat,汗,10,4,2
468,nationality,国籍,10,4,2
469,citizen,市民,10,4,2
470,civil,市民の,10,2,2
471,racial,人種の,10,2,3
472,domestic,国内の,10,2,3
473,rural,田舎の,10,2,3
474,suburb,郊外,10,4,3
475,border,国境,10,4,3
476,burden,重荷,10,4,3
477,impact,影響,10,4,3
478,status,地位,10,4,3
479,equal,等しい,10,2,3
480,relationship,関係,10,4,3
481,reputation,評判,10,4,4
482,trend,風潮,10,4,4
483,service,事業,10,4,4
484,religion,宗教,10,4,4
485,moral,道徳的な,10,2,4
486,standard,基準,10,4,4
487,prosperity,繁栄,10,4,4
488,crisis,危機,10,4,4
489,prejudice,偏見,10,4,4
490,discrimination,差別,10,4,4
491,charity,慈善,10,4,5
492,benefit,恩恵,10,4,5
493,welfare,福祉,10,4,5
494,community,社会,10,4,5
495,individual,個人,10,4,5
496,official,役人,10,4,5
497,immigrant,移民,10,4,5
498,volunteer,ボランティア,10,4,5
499,contribute,貢献する,10,1,5
500,abolish,を廃止する,10,1,5
